FrameCounter,RunTime,CameraPositionX,CameraPositionY,CameraPositionZ,CameraDirectionX,CameraDirectionY,CameraDirectionZ,CameraVelocityX,CameraVelocityY,CameraVelocityZ
1,0,0,0,0,0,0,0,0,0,0
2,0.02,-0.03332543,0.6001617,0.1088041,355.5464,355.9948,358.8039,-1.666272,30.00808,5.440204
3,0.0760688,-0.03330948,0.6001666,0.1087589,355.5358,355.9964,358.8006,0.0002845686,8.82342E-05,-0.000806333
4,0.10598,-0.03329655,0.600176,0.1087512,355.5325,356.0005,358.7958,0.0004322956,0.000312857,-0.0002573099
5,0.1299709,-0.03327397,0.6001539,0.1087325,355.5341,355.9937,358.7935,0.0009409929,-0.0009192538,-0.0007767074
6,0.1521178,-0.03325817,0.6001754,0.1087752,355.5306,356.0006,358.7924,0.0007135388,0.0009688788,0.001926992
7,0.1755431,-0.0332414,0.6002027,0.1087567,355.5274,356.0031,358.7894,0.0007159464,0.001167906,-0.0007919621
8,0.2016175,-0.0332986,0.6002285,0.1087439,355.5119,355.9898,358.8028,-0.002193936,0.0009875285,-0.0004909068
9,0.2299118,-0.03332409,0.6002256,0.108813,355.532,355.9876,358.7983,-0.0009008326,-0.0001011166,0.00244365
10,0.2485989,-0.03325754,0.6001796,0.108891,355.5755,355.9975,358.7692,0.003561205,-0.002465572,0.004172813
11,0.2734434,-0.03322327,0.6001625,0.1089939,355.5986,356.0145,358.7566,0.001379487,-0.000686145,0.004141461
12,0.2946183,-0.03325438,0.6001155,0.1091555,355.6472,355.9835,358.7646,-0.001469363,-0.002218119,0.00763358
13,0.3276306,-0.03313224,0.6001201,0.1092286,355.6766,356.0182,358.7307,0.003699866,0.0001372202,0.002215609
14,0.3525108,-0.03313484,0.6001768,0.1092056,355.6814,356.0048,358.7219,-0.0001042115,0.002280674,-0.0009283205
15,0.3704952,-0.03322728,0.600187,0.1091814,355.6842,355.9945,358.7522,-0.005140391,0.0005667356,-0.001343511
16,0.3918665,-0.03316797,0.6002367,0.1092084,355.6978,355.9756,358.7271,0.002775582,0.00232324,0.001262024
17,0.4152801,-0.03298749,0.6003063,0.1092785,355.6946,356.0142,358.6695,0.007708145,0.00297341,0.00299664
18,0.4434532,-0.03294779,0.6003988,0.1093302,355.6799,355.9868,358.6546,0.001409293,0.003283503,0.001833747
19,0.4640354,-0.03299645,0.6004574,0.1094021,355.696,355.9623,358.6808,-0.002364528,0.002849597,0.003495752
20,0.4846103,-0.03313868,0.6005565,0.1094031,355.6502,355.9777,358.7195,-0.006912869,0.004814747,4.635135E-05
21,0.507929,-0.03309342,0.6009542,0.1094035,355.6093,355.8262,358.7299,0.001941346,0.01705419,1.565601E-05
22,0.5401998,-0.03296344,0.60145,0.109126,355.5831,355.5253,358.8189,0.004027532,0.01536347,-0.008597164
23,0.565177,-0.03299075,0.6017528,0.1086733,355.6135,355.0274,359.0289,-0.001093401,0.01212272,-0.01812382
24,0.5856522,-0.03328275,0.6018837,0.1081268,355.6398,354.5477,359.0395,-0.01426098,0.006395626,-0.02669199
25,0.605179,-0.03419014,0.6026694,0.1068267,355.6467,353.992,359.2556,-0.04646874,0.0402343,-0.06658265
26,0.6276015,-0.03450957,0.6034111,0.1056371,355.6175,353.4867,359.779,-0.01424607,0.03307929,-0.05305041
27,0.6522169,-0.03496373,0.6042851,0.1044102,355.5922,352.998,359.9009,-0.01845014,0.03550552,-0.04984406
28,0.6779782,-0.03479767,0.6051072,0.1022586,355.6465,352.5137,0.2232139,0.006445901,0.03191324,-0.08352152
29,0.6953753,-0.03432641,0.6061236,0.09972291,355.8302,352.0861,0.7470604,0.02708865,0.05842227,-0.1457529
30,0.7155635,-0.03377888,0.6074019,0.09721889,355.9548,351.864,1.381745,0.02712145,0.06332134,-0.1240338
31,0.7392053,-0.03249069,0.6086724,0.09444133,356.0851,351.7245,1.878213,0.05448746,0.05373836,-0.1174851
32,0.7616126,-0.03090009,0.6103598,0.09158269,356.2645,351.6379,2.147747,0.07098582,0.07530883,-0.1275766
33,0.7891971,-0.02927327,0.6128114,0.08851682,356.2421,351.7836,2.274385,0.05897607,0.08887381,-0.1111444
34,0.8062655,-0.02766319,0.6157851,0.08571443,356.0991,352.0523,2.437312,0.09433078,0.1742247,-0.1641863
35,0.8284929,-0.02555851,0.6193341,0.08303485,355.7338,352.5825,2.767921,0.09468872,0.1596668,-0.1205529
36,0.8475695,-0.02323374,0.6235302,0.08046328,355.1399,353.1489,2.86071,0.1218646,0.2199605,-0.1348023
37,0.8699275,-0.02079523,0.628456,0.07758676,354.4843,353.7886,2.721787,0.1090668,0.2203143,-0.1286573
38,0.8991415,-0.01840278,0.6338996,0.07495513,353.6029,354.5616,2.69165,0.08189388,0.1863367,-0.09008113
39,0.9169209,-0.01583594,0.6397639,0.07172729,352.837,355.2428,2.979176,0.1443717,0.3298345,-0.1815492
40,0.9365783,-0.01326408,0.645686,0.06838709,351.9915,355.7516,3.277668,0.1308341,0.3012681,-0.169921
41,0.9581557,-0.01052619,0.6519199,0.06505318,351.1528,356.0603,3.510633,0.126887,0.2889072,-0.1545093
42,0.9842069,-0.007809463,0.6581783,0.06124945,350.4077,356.4126,3.887963,0.1042839,0.2402355,-0.1460097
43,1.009323,-0.005178929,0.6641354,0.05731041,349.7592,356.8163,4.110182,0.1047355,0.2371825,-0.1568339
44,1.026631,-0.002375685,0.6701454,0.05328558,349.1827,357.1958,4.233504,0.1619568,0.3472261,-0.2325336
45,1.050708,0.0004138534,0.6760121,0.04932439,348.7231,357.6011,4.508412,0.1158622,0.243671,-0.1645263
46,1.072491,0.003284726,0.6817554,0.04526606,348.3152,357.9955,4.535931,0.1317928,0.263658,-0.1863054
47,1.09292,0.006495077,0.6871033,0.04132019,347.8897,358.4261,4.540583,0.1571439,0.2617725,-0.193147
48,1.119686,0.009627469,0.6922345,0.03749809,347.5027,358.9877,4.415277,0.1170311,0.1917114,-0.1427994
49,1.140092,0.0127677,0.6971122,0.03384356,347.2327,359.6295,4.516264,0.1538865,0.2390305,-0.1790899
50,1.158841,0.0158436,0.7019745,0.03047548,346.8581,0.2781575,4.928083,0.1640568,0.259337,-0.1796407
51,1.182086,0.01897,0.7066381,0.02768575,346.4695,0.7988356,5.12381,0.1344987,0.2006287,-0.1200148
52,1.204171,0.02193685,0.7107494,0.02507707,346.1646,1.359924,5.169067,0.1343343,0.1861557,-0.1181171
53,1.230157,0.02498355,0.7145936,0.02218718,345.8234,1.816382,5.285253,0.1172449,0.1479345,-0.1112103
54,1.251667,0.027897,0.7177492,0.01979252,345.659,2.215883,5.594314,0.1354452,0.1467025,-0.111327
55,1.27046,0.03082139,0.7205704,0.01751355,345.5218,2.470069,6.039552,0.1556166,0.1501227,-0.1212715
56,1.29543,0.03363077,0.7231647,0.01533205,345.3668,2.685723,6.481456,0.1125069,0.1038955,-0.08736242
57,1.316548,0.03657804,0.7251869,0.01329532,345.3424,2.842569,6.760345,0.1395635,0.09575555,-0.09644604
58,1.342197,0.03929808,0.7268593,0.01134908,345.2947,3.123296,6.759358,0.1060494,0.06520587,-0.0758806
59,1.360393,0.0419408,0.7282366,0.009668693,345.3272,3.424426,6.731607,0.1452331,0.07568968,-0.09234686
60,1.383024,0.04446353,0.7289416,0.007743819,345.3737,3.717646,6.689189,0.1114736,0.03114992,-0.08505592
61,1.405461,0.04699414,0.729591,0.006079535,345.6194,3.972987,6.610637,0.1127864,0.02894531,-0.07417516
62,1.428851,0.04944763,0.7300582,0.004201194,345.6426,4.184389,6.500951,0.104895,0.0199736,-0.08030549
63,1.45449,0.05181008,0.730597,0.002779905,345.7039,4.487843,6.59637,0.09214386,0.02101612,-0.05543531
64,1.474816,0.05405865,0.7311362,0.001804154,345.6995,4.837772,6.587312,0.1106254,0.02652677,-0.04800503
